series_slug,series_title,track,unit_number,unit_type,duration_target,source_category,title_ar,source_reference,verse_surah,verse_ayah_from,verse_ayah_to,hadith_collection,hadith_number,hadith_grade,adhkar_ref,figure_ref,reviewer_id,review_version,status
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,7,story_unit,2:30-3:00,manners,سلام عند اللقاء,القرآن 24:61؛ صحيح مسلم 54 في إفشاء السلام.,,,,,,,,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,8,story_unit,2:30-3:00,manners,صوت لطيف مع والديّ,القرآن 17:23–24.,,,,,,,,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,9,story_unit,2:30-3:00,manners,أستأذن قبل الدخول,القرآن 24:27 و24:58 في الاستئذان والخصوصية.,,,,,,,,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,10,story_unit,2:30-3:00,manners,النظافة عادة جميلة,صحيح مسلم 223 في فضل الطهور؛ مع إرشاد صحي تربوي غير تعبدي لغسل اليدين.,,,,,,,,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,11,illustrated_unit,2:00-2:30,prayer_consensus,وضوء هادئ,القرآن 5:6؛ تقتصر التفاصيل على القدر المتفق عليه ويعتمدها المراجع.,,,,,,,,,,draft-v1,review_sharia
preschool-adhkar-manners-prayer,أذكاري وآدابي وصلاتي,3-5,12,illustrated_unit,2:00-2:30,prayer_consensus,أقف مستعدًا للصلاة,القرآن 2:144 في القبلة؛ القرآن 4:103 في توقيت الصلاة؛ التفاصيل العملية تنتظر اعتماد المراجع.,,,,,,,,,,draft-v1,review_sharia
quran-treasures,كنوز القرآن,6-8,1,illustrated_unit,3:00-4:00,quran,الوقت كنز · سورة العصر,المصحف الرسمي؛ تفسير ميسر معتمد لسورة العصر.,103,1,3,,,,,,,draft-v1,review_sharia
quran-treasures,كنوز القرآن,6-8,2,illustrated_unit,3:00-4:00,quran,عون صغير يصنع فرقًا · سورة الماعون,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الماعون.,107,1,7,,,,,,,draft-v1,review_sharia
quran-treasures,كنوز القرآن,6-8,3,illustrated_unit,3:00-4:00,quran,أشكر النعمة · سورة الكوثر,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الكوثر.,108,1,3,,,,,,,draft-v1,review_sharia
quran-treasures,كنوز القرآن,6-8,4,illustrated_unit,3:00-4:00,quran,أثر القوة لا شكل الغيب · سورة الفيل,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الفيل؛ سياق تاريخي يراجعه المختص.,105,1,5,,,,,,,draft-v1,review_sharia
quran-treasures,كنوز القرآن,6-8,5,illustrated_unit,3:00-4:00,quran,أمان وطعام يستحقان الشكر · سورة قريش,المصحف الرسمي؛ تفسير ميسر معتمد لسورة قريش.,106,1,4,,,,,,,draft-v1,review_sharia
quran-treasures,كنوز القرآن,6-8,6,illustrated_unit,3:00-4:00,quran,لا يضيع الخير الصغير · سورة الزلزلة,المصحف الرسمي؛ تفسير ميسر معتمد لسورة الزلزلة 99:7–8؛ تُراجع ملاءمة الاقتصار على الآيتين.,99,7,8,,,,,,,draft-v1,review_sharia
prophets-stories-kids,قصص الأنبياء للصغار,6-8,1,story_unit,4:00-5:00,verified_quran_or_sira,نوح: صبر في الدعوة,القرآن 71:1–10، والقرآن 11:36–44؛ يحدد المراجع حدود السرد المعتمدة.,,,,,,,,prophet-nuh,,draft-v1,review_sharia
prophets-stories-kids,قصص الأنبياء للصغار,6-8,2,story_unit,4:00-5:00,verified_quran_or_sira,إبراهيم: سؤال صادق وشجاعة,القرآن 21:51–70؛ تُراجع طريقة عرض الحدث وملاءمته.,,,,,,,,prophet-ibrahim,,draft-v1,review_sharia
prophets-stories-kids,قصص الأنبياء للصغار,6-8,3,story_unit,4:00-5:00,verified_quran_or_sira,موسى: عون من غير انتظار,القرآن 28:22–28، قصة ماء مدين؛ لا تُضاف أسماء أو تفاصيل غير واردة.,,,,,,,,prophet-musa,,draft-v1,review_sharia
prophets-stories-kids,قصص الأنبياء للصغار,6-8,4,story_unit,4:00-5:00,verified_quran_or_sira,يونس: عودة وأمل,القرآن 21:87–88؛ القرآن 37:139–148؛ يراجع المختص تسلسل الجمع بين الموضعين.,,,,,,,,prophet-yunus,,draft-v1,review_sharia
prayer-step-by-step,صلاتي خطوة بخطوة,6-8,1,illustrated_unit,3:00-4:00,prayer_consensus,أعرف الوقت وأتهيأ,القرآن 4:103 في كون الصلاة موقوتة؛ صحيح مسلم 612 في المواقيت، ويحدد المراجع ما يلائم العمر.,,,,,,,,,,draft-v1,review_sharia
prayer-step-by-step,صلاتي خطوة بخطوة,6-8,2,illustrated_unit,3:00-4:00,prayer_consensus,أتوضأ بلا إسراف,القرآن 5:6؛ صحيح البخاري 201 في وضوء النبي بالمد، ويُراجع الرقم ودلالة الاستشهاد.,,,,,,,,,,draft-v1,review_sharia
prayer-step-by-step,صلاتي خطوة بخطوة,6-8,3,illustrated_unit,3:00-4:00,prayer_consensus,أقوم وأركع وأسجد بطمأنينة,القرآن 22:77 في الركوع والسجود؛ صحيح البخاري 757 وصحيح مسلم 397 في حديث المسيء صلاته، مع مراجعة الألفاظ والتفاصيل.,,,,,,,,,,draft-v1,review_sharia
prayer-step-by-step,صلاتي خطوة بخطوة,6-8,4,illustrated_unit,3:00-4:00,prayer_consensus,أختم صلاتي وأحفظ هدوئي,القرآن 23:1–2 في الخشوع؛ أصل التسليم ضمن صفة الصلاة يحتاج مرجعًا حديثيًا يثبته المراجع قبل الإنتاج.,,,,,,,,,,draft-v1,review_sharia
prophetic-guidance-kids,من هدي النبي,6-8,1,story_unit,4:00-5:00,verified_hadith_or_sira,الرفق يجمّل العمل,صحيح مسلم 2594: معنى أن الرفق يزين الأمر والعنف يشينه؛ يراجع المراجع الرقم واللفظ.,,,,صحيح مسلم,2594,صحيح,,,,draft-v1,review_sharia
prophetic-guidance-kids,من هدي النبي,6-8,2,story_unit,4:00-5:00,verified_hadith_or_sira,الصدق يقود إلى الخير,صحيح البخاري 6094؛ صحيح مسلم 2607 في الصدق والكذب.,,,,صحيح البخاري,6094,صحيح,,,,draft-v1,review_sharia
prophetic-guidance-kids,من هدي النبي,6-8,3,story_unit,4:00-5:00,verified_hadith_or_sira,رحمة في البيت,صحيح مسلم 2310 في خدمة أنس وعِشرة النبي ﷺ؛ صحيح البخاري 5997 في الرحمة بالصغير، ويُراجع نطاق الاستشهاد.,,,,صحيح مسلم,2310,صحيح,,,,draft-v1,review_sharia
prophetic-guidance-kids,من هدي النبي,6-8,4,story_unit,4:00-5:00,verified_hadith_or_sira,الكلمة الطيبة صدقة,صحيح البخاري 2989؛ صحيح مسلم 1009 في الكلمة الطيبة صدقة.,,,,صحيح البخاري,2989,صحيح,,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,1,audio_card,1:00-1:30,adhkar,عند الخروج من المنزل,سنن أبي داود 5095؛ جامع الترمذي 3426، قال الترمذي حسن صحيح.,,,,,,,سنن أبي داود 5095؛ جامع الترمذي 3426، قال الترمذي حسن صحيح.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,2,audio_card,1:00-1:30,adhkar,عند دخول المسجد,صحيح مسلم 713.,,,,,,,صحيح مسلم 713.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,3,audio_card,1:00-1:30,adhkar,عند الخروج من المسجد,صحيح مسلم 713.,,,,,,,صحيح مسلم 713.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,4,audio_card,1:00-1:30,adhkar,العطاس والرد عليه,صحيح البخاري 6224، ويُراجع ترتيب ألفاظ الأطراف.,,,,,,,صحيح البخاري 6224، ويُراجع ترتيب ألفاظ الأطراف.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,5,audio_card,1:00-1:30,adhkar,ذكر الصباح: رضيت بالله,سنن أبي داود 5072؛ جامع الترمذي 3389، ويُراجع اللفظ والدرجة وعدد التكرار.,,,,,,,سنن أبي داود 5072؛ جامع الترمذي 3389، ويُراجع اللفظ والدرجة وعدد التكرار.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,6,audio_card,1:00-1:30,adhkar,ذكر المساء: رضيت بالله,سنن أبي داود 5072؛ جامع الترمذي 3389، ويُراجع اللفظ والدرجة وعدد التكرار.,,,,,,,سنن أبي داود 5072؛ جامع الترمذي 3389، ويُراجع اللفظ والدرجة وعدد التكرار.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,7,audio_card,1:00-1:30,adhkar,تسبيح بعد الصلاة,صحيح مسلم 597 في التسبيح والتحميد والتكبير دبر الصلاة؛ يثبت المراجع العدد والصيغة الكاملة.,,,,,,,صحيح مسلم 597 في التسبيح والتحميد والتكبير دبر الصلاة؛ يثبت المراجع العدد والصيغة الكاملة.,,,draft-v1,review_sharia
daily-adhkar-kids,أذكاري اليومية,6-8,8,audio_card,1:00-1:30,adhkar,عندما أغضب,صحيح البخاري 3282؛ صحيح مسلم 2610 في الاستعاذة عند الغضب.,,,,,,,صحيح البخاري 3282؛ صحيح مسلم 2610 في الاستعاذة عند الغضب.,,,draft-v1,review_sharia
quran-understanding-junior,في رحاب القرآن,9-12,1,knowledge_unit,6:00-8:00,quran,البر صورة كاملة,القرآن 2:177؛ تفسير ميسر معتمد يحدده المراجع.,2,177,177,,,,,,,draft-v1,review_sharia
quran-understanding-junior,في رحاب القرآن,9-12,2,knowledge_unit,6:00-8:00,quran,وصايا لقمان: حكمة في الحياة,القرآن 31:12–19؛ تفسير ميسر معتمد.,31,12,19,,,,,,,draft-v1,review_sharia
quran-understanding-junior,في رحاب القرآن,9-12,3,knowledge_unit,6:00-8:00,quran,كرامة الناس والتعارف,القرآن 49:10–13؛ تفسير ميسر معتمد.,49,10,13,,,,,,,draft-v1,review_sharia
quran-understanding-junior,في رحاب القرآن,9-12,4,knowledge_unit,6:00-8:00,quran,خريطة أخلاق يومية من سورة الإسراء,القرآن 17:23–39؛ تفسير ميسر معتمد؛ يقسم المراجع المقطع إلى وحدات مناسبة.,17,23,39,,,,,,,draft-v1,review_sharia
quran-understanding-junior,في رحاب القرآن,9-12,5,knowledge_unit,6:00-8:00,quran,الخصوصية والاستئذان,القرآن 24:27–31؛ تفسير ميسر معتمد؛ تُراجع ملاءمة عرض أحكام اللباس بحسب العمر والسوق.,24,27,31,,,,,,,draft-v1,review_sharia
quran-understanding-junior,في رحاب القرآن,9-12,6,knowledge_unit,6:00-8:00,quran,تعلم وشكر في سورة الرحمن,القرآن 55:1–13؛ تفسير ميسر معتمد.,55,1,13,,,,,,,draft-v1,review_sharia
seerah-journey-junior,رحلة في السيرة,9-12,1,knowledge_unit,6:00-8:00,verified_sira,بداية الوحي: اقرأ وتعلّم,القرآن 96:1–5؛ صحيح البخاري 3، بدء الوحي؛ يراجع المراجع حدود الرواية ولفظها.,,,,,,,,,,draft-v1,review_sharia
seerah-journey-junior,رحلة في السيرة,9-12,2,knowledge_unit,6:00-8:00,verified_sira,الدعوة في مكة: ثبات بلا إساءة,القرآن 15:94؛ 16:125–127؛ 73:10؛ سياق السيرة يثبت من مرجع محقق قبل الاعتماد.,,,,,,,,,,draft-v1,review_sharia
seerah-journey-junior,رحلة في السيرة,9-12,3,knowledge_unit,6:00-8:00,verified_sira,الهجرة: تخطيط وتوكّل,القرآن 9:40؛ صحيح البخاري 3905 في الهجرة وصحبة أبي بكر، مع تدقيق الرقم والتفاصيل.,,,,,,,,,,draft-v1,review_sharia
seerah-journey-junior,رحلة في السيرة,9-12,4,knowledge_unit,6:00-8:00,verified_sira,المدينة: مؤاخاة وبناء مجتمع,القرآن 59:9 في إيثار الأنصار؛ صحيح البخاري، كتاب مناقب الأنصار، باب إخاء النبي بين المهاجرين والأنصار؛ يثبت رقم الحديث والإصدار قبل الاعتماد.,,,,,,,,,,draft-v1,review_sharia
seerah-journey-junior,رحلة في السيرة,9-12,5,knowledge_unit,6:00-8:00,verified_sira,الحديبية: صلح يرى أبعد,القرآن 48:1؛ صحيح البخاري 2731–2732 في قصة الحديبية؛ النص الطويل يقتصر منه على ما يعتمده المراجع.,,,,,,,,,,draft-v1,review_sharia
worship-with-knowledge,عبادتي بعلم,9-12,1,knowledge_unit,5:00-7:00,worship_consensus,الطهارة: استعداد بلا إسراف,القرآن 5:6؛ صحيح مسلم 223 في فضل الطهور؛ تفاصيل النواقض والخلاف خارج الوحدة.,,,,,,,,,,draft-v1,review_sharia
worship-with-knowledge,عبادتي بعلم,9-12,2,knowledge_unit,5:00-7:00,worship_consensus,الصلاة: موعد واتصال بالله,القرآن 4:103؛ 29:45؛ صحيح البخاري 757 وصحيح مسلم 397 في الطمأنينة، وفق ما يعتمده المراجع.,,,,,,,,,,draft-v1,review_sharia
worship-with-knowledge,عبادتي بعلم,9-12,3,knowledge_unit,5:00-7:00,worship_consensus,الزكاة: حق ونظام,القرآن 9:60 لمصارف الزكاة؛ القرآن 2:267 في الإنفاق من الطيب؛ المقادير والحسابات خارج الوحدة وتحتاج مرجعًا محليًا.,,,,,,,,,,draft-v1,review_sharia
worship-with-knowledge,عبادتي بعلم,9-12,4,knowledge_unit,5:00-7:00,worship_consensus,الصيام: تدريب على التقوى,القرآن 2:183–187؛ الأحكام الصحية وحالات الإعفاء لا يقررها التطبيق.,,,,,,,,,,draft-v1,review_sharia
worship-with-knowledge,عبادتي بعلم,9-12,5,knowledge_unit,5:00-7:00,worship_consensus,الحج: قصد ومناسك في مكان معلوم,القرآن 3:97؛ 2:196؛ 22:27–29؛ تفاصيل المناسك والترتيب تحتاج مادة مستقلة معتمدة.,,,,,,,,,,draft-v1,review_sharia
identity-ethics-junior,هويتي وأخلاقي,9-12,1,story_unit,5:00-6:00,ethics_sources,أقول الحقيقة وأصلح,القرآن 33:70؛ صحيح البخاري 6094 وصحيح مسلم 2607 في الصدق.,,,,صحيح البخاري,6094,صحيح,,,,draft-v1,review_sharia
identity-ethics-junior,هويتي وأخلاقي,9-12,2,story_unit,5:00-6:00,ethics_sources,أحفظ الأمانة والوعد,القرآن 23:8؛ 17:34؛ تفسير ميسر معتمد.,,,,,,,,,,draft-v1,review_sharia
identity-ethics-junior,هويتي وأخلاقي,9-12,3,story_unit,5:00-6:00,ethics_sources,أتعرف ولا أتعالى,القرآن 49:13؛ 49:11؛ تفسير ميسر معتمد.,,,,,,,,,,draft-v1,review_sharia
identity-ethics-junior,هويتي وأخلاقي,9-12,4,story_unit,5:00-6:00,digital_ethics_sources,أتثبت وأحفظ الخصوصية رقميًا,القرآن 49:6 و49:11–12؛ القرآن 24:27 قياسًا تربويًا على الاستئذان، ويعتمد المراجع صياغة التطبيق الرقمي.,,,,,,,,,,draft-v1,review_sharia
seasons-of-goodness,مواسم الخير,9-12,1,illustrated_unit,5:00-6:00,seasonal_worship_consensus,رمضان: شهر القرآن والصيام,القرآن 2:183–185؛ تفسير ميسر معتمد.,,,,,,,,,,draft-v1,review_sharia
seasons-of-goodness,مواسم الخير,9-12,2,illustrated_unit,5:00-6:00,seasonal_worship_consensus,ليلة القدر: عبادة بلا ادعاء,سورة القدر 97:1–5؛ القرآن 44:3؛ صحيح البخاري 2017 في تحريها في العشر الأواخر، ويُراجع الرقم.,,,,,,,,,,draft-v1,review_sharia
seasons-of-goodness,مواسم الخير,9-12,3,illustrated_unit,5:00-6:00,seasonal_worship_consensus,عيد الفطر: شكر وفرح ورحمة,القرآن 2:185 في إكمال العدة والتكبير والشكر؛ صحيح البخاري 952 في إظهار الفرح المباح يوم العيد، ويُراجع وجه الاستشهاد.,,,,,,,,,,draft-v1,review_sharia
seasons-of-goodness,مواسم الخير,9-12,4,illustrated_unit,5:00-6:00,seasonal_worship_consensus,عيد الأضحى: التقوى والعطاء,القرآن 22:36–37؛ القرآن 108:2؛ أحكام الأضحية والتنفيذ العملي خارج تطبيق الأطفال.,,,,,,,,,,draft-v1,review_sharia
